TIME, VerticalSpeed, RadarAltitude, TargetVerticalSpeed, TargetThrottle, EngineResponse(kn), Latitude, Longitude, XError, YError, TargetXSpeed, CurrentXSpeed, TargetXPitch, TargetYSpeed, CurrentYSpeed, TargetYPitch, TotalTargetPitch, TotalTargetHeading
47730.7400507385, -20.5123332157214, 486.711273193359, -20, 0.472326856413257, 542.310363769531, 28.6083679199219, -80.5996780395508, -283.349086021064, -100.105295903225, 15, 6.29508427481781, 8.7829637062629, 7.69029243524028, 3.25351046354663, 4.89958980320008, 10.0477864088175, 60.7790968731317
47730.8200507385, -20.5896416722793, 485.224304199219, -20, 0.40541309487402, 545.721069335938, 28.6083698272705, -80.5996704101563, -282.500736055819, -99.8932084119138, 15, 6.54723633200881, 7.82866295153022, 7.77936918160799, 3.37516405828513, 4.83822503251135, 9.19513245206424, 58.2340050579028
47730.8800507385, -20.6377648324258, 484.153045654297, -20, 0.310550082679073, 534.326232910156, 28.6083717346191, -80.5996704101563, -282.500736055819, -99.6811209206026, 15, 6.73393858790808, 8.73248674642452, 7.81542405513935, 3.46725585416326, 4.76507362837145, 9.93911896530235, 61.3143262923302
47730.9600507385, -20.707513882092, 482.215057373047, -20, 0.498393284550526, 535.252075195313, 28.6083736419678, -80.5996627807617, -281.652386090574, -99.4690334292914, 15, 6.97371741127325, 8.05309892839838, 7.79845705583447, 3.58698277379244, 4.62737616664189, 9.28028890191908, 60.0633107115549
47731.0400507385, -20.7876864197871, 480.728149414063, -20, 0.473488932670865, 546.599853515625, 28.6083755493164, -80.5996551513672, -280.80403612533, -99.2569459379802, 15, 7.20484838875308, 7.84683672086106, 7.78149005652956, 3.70535813659356, 4.47836291386207, 9.0279002761075, 60.2335815930797
47731.1200507385, -20.832957166218, 479.156463623047, -20, 0.357256730680823, 547.062438964844, 28.608377456665, -80.5996551513672, -280.80403612533, -99.044858446669, 15, 7.43229824044059, 7.03742133402802, 7.71150118438841, 3.82862102050078, 4.21291070243309, 8.19661760500391, 59.052621145181
47731.1800507385, -20.8827548923304, 477.7890625, -20, 0.390213355586234, 535.175109863281, 28.6083812713623, -80.5996475219727, -279.955686160085, -98.6206834640467, 15, 7.59503004373563, 7.90207713836903, 7.57152344010602, 3.9192632235837, 3.95640772020209, 8.8315672708023, 63.3492444326384
47731.2600507384, -20.940296239104, 476.301879882813, -20, 0.508384841959372, 542.365844726563, 28.6083831787109, -80.5996398925781, -279.10733619484, -98.4085959727355, 15, 7.79512101465165, 7.387538119255, 7.71362205931, 4.03110482100658, 4.06327221029795, 8.42581011010401, 61.1416391427907
47731.3400507384, -20.9940033559079, 474.398773193359, -20, 0.439482588715844, 549.0009765625, 28.6083850860596, -80.5996398925781, -279.10733619484, -98.1965084814243, 15, 7.9749238873865, 7.32955546924552, 7.69665506000509, 4.13251811496786, 4.00227944390867, 8.3458445949597, 61.3172094579363
47731.4200507384, -21.0154434876175, 472.827026367188, -20, 0.32790320147059, 543.160400390625, 28.6083889007568, -80.5996322631836, -278.258986229596, -97.7723334988019, 15, 8.12502671964014, 7.00105027745916, 7.39761169721388, 4.21586595767755, 3.68144627830745, 7.90570766122522, 62.2201795520416
